Id,EntityWavId,Name,Zipcode
be64338d-1b70-4f9c-bac4-e0d458441a30,PRAC0000000000000906,Test1 PG,79107
7a546858-7783-4833-b718-20a806d54cd5,PRAC0000000000000907,Test PG 2 ,79601
fef4347b-86ac-459b-9b65-e64e5973c34c,PRAC0000000000000909,abc,34565
f3ca7d04-c509-49fb-a574-1d7c77b05598,PRAC0000000000000910,Test PG 4,02721
5c7d02a9-37c0-40a4-b6ba-eee890805910,PRAC0000000000000911,SAH Orthopedics,94538
76397fad-4da9-4d7f-9c42-6f5acd91dca1,PRAC0000000000000912,SSTAR Family Health Care Center,02720
797df927-2d0f-456a-8f08-f0ce00e5dcc1,PRAC0000000000000913,Roger Williams Medical Center (RWMC),02908
81b92568-6f79-4717-bfe5-916020016165,PRAC0000000000000914,Southcoast Physicians Group,27405
5abebf61-6d3c-4407-b944-694f38fc6615,PRAC0000000000000915,Premier Healthcare Services LLC,20850
7bb9b5b2-1782-4d39-9330-d8cc687cfb7d,PRAC0000000000000916,"HealthFirst Family Care Center, Inc.",02723
d90bd338-62d1-4b95-a9fb-990e20e7b0bc,PRAC0000000000000917,"Geriatric Internal Medicine Specialists, LLC",21244
ab3533f2-c860-45c7-8420-acb4cc9331f8,PRAC0000000000000918,Tristan Medical Pc,02760
198c4c2e-af1c-4808-83f2-708fae10ffc7,PRAC0000000000000919,Infinity Medical Research,02747
2ed1a635-c34b-4e7a-b678-ee00fe632321,PRAC0000000000000920,Steward Primary Care at Paramount,02767
d358155c-09b7-46f7-91e2-5dd0300bf34e,PRAC0000000000000921,"The Greater New Bedford Community Health Center, Inc",02740
2e9680d3-2138-479f-a0a8-d4e15327527f,PRAC0000000000000923,JOEY A. TRYON D.O,27211
7c40b6f6-5874-4ab8-96d4-e03b0d2f8201,PRAC0000000000000924,Trucare Medical,89104
397b825b-337f-4707-86ef-99c1ffb07c7d,PRAC0000000000000925,SMG Internal Medicine Health Associates At John Adams Medical Center,90020
546e790b-e2eb-4da3-a398-6996e95418fb,PRAC0000000000000926,Jose Monteiro M.D. P.C,02721
994b8f76-cacc-4bdc-8847-da64704753c1,PRAC0000000000000927,Hawthorn Medical Associates Adult Medicine,30606
4b51c8b7-c8c4-4779-808c-038c057f026b,PRAC0000000000000928,Hawthorn Medical Associates - Family Practice,27471
161d97e7-4d84-4ed0-8d99-4147b75f8988,PRAC0000000000000929,Hawthorn Medical Associates - Internal Medicine,27471
013063d3-7c50-4f89-96cc-009b29b5e220,PRAC0000000000000930,Hawthorn Medical Associates -Rheumatology,27471
3bef7fdb-bf2d-49d6-944c-4edfecd704b7,PRAC0000000000000931,Hawthorn Medical Associates - Nephrology,27471
8669b221-8ff2-476d-a160-fdd9ad22215e,PRAC0000000000000932,Hawthorn Medical Associates-Cardiology,02747
06be9a40-66ea-4962-b1d6-ba665404cb92,PRAC0000000000000933,Hawthorn Medical Associates-Pulmonary,02747
02a2f9f5-8474-46fb-89c4-35534fc4b770,PRAC0000000000000934,SMG Mill River Internal Medicine,02780
0206ff01-d432-485b-96c9-c3813784dde1,PRAC0000000000000935,SMG Tauton Medical,02780
04f078b7-77b8-433d-bc38-6fc17686b885,PRAC0000000000000936,Millview Medical Fall River,02721
800e36a8-099a-4002-a528-bdbbfb0ba9f0,PRAC0000000000000937,SMG Morton Surgical,02780
716be0f8-9710-4fee-90b2-09dc30f229c9,PRAC0000000000000938,New Bedford Internal Medicine and Geriatrics,02744
5296e4f9-79be-4414-a46c-07179da04174,PRAC0000000000000939,SAH-SMG Andrade Medical Associates,02721
4e26e2d7-4d16-497d-9103-b39e638a9792,PRAC0000000000000940,SMG Breast Care,64111
af180a46-e006-4803-ac54-fc49f9fd4d10,PRAC0000000000000941,SMG New England Cardiology of Taunton,02780
11814ddc-499c-41fc-beea-6b5b46289fb2,PRAC0000000000000942,SSTAR Family Health Care Center,02720
090aa18a-0fac-4eb9-b9ee-6c10d013221f,PRAC0000000000000943,Hawthorn Medical Associates -Urology,02747
03905b68-b4a4-4c14-a1b4-65c3ca135f7c,PRAC0000000000000944,Center For Primary Care,30809
d074279d-8ff6-47ab-b340-04f21c0f587e,PRAC0000000000000945,"Aco Health Solutions, LLC",37075
66162f3d-6349-4916-854d-ef0c7e4f9034,PRAC0000000000000946,Boston Neurobehavioral Associates,02740
c180ff5f-5217-45d8-aae6-0d5e1e944493,PRAC0000000000000947,Steward Primary Care of Taunton,02780
131b15f2-a26a-4ebd-87b3-5584d82c1b55,PRAC0000000000000948,Steward Primary Care at Northwoods,02780
815d7fe8-1db8-448e-8cfc-7cf2c05ea7f4,PRAC0000000000000949,SMG Orthopedics & Sports Medicine  North Easton,02356
e9ae0a24-2a9e-4af9-9fec-07aeb39fb812,PRAC0000000000000950,RegalCare at Taunton,02780
e860283c-3b20-42be-a911-c8cf57b7075a,PRAC0000000000000951,Hawthorn Orthopedics Center,02747
c2585cf4-23de-42eb-8159-d7954741dc94,PRAC0000000000000952,test 6,01621
0245a889-31da-445b-9f1e-51f97ea6d37e,PRAC0000000000000953,Associates in Internal Medicine - Norwood,02062
14761337-cd76-4e76-8bdd-18a96465624e,PRAC0000000000000954,Carney Hospital,2124
c5c1a894-08ac-4cb9-bfd1-0ad1384b890e,PRAC0000000000000955,BestSelf Primary Care,01843
d85f001f-d50e-4548-9666-e756b56b599d,PRAC0000000000000956,Charter Health PC,1970
3e96edfa-f24f-499d-85c8-7a5e92d8eed2,PRAC0000000000000957,SHARDA KAUL M.D,1844
042a7278-25b6-4a9b-a18d-1981ab0daf11,PRAC0000000000000958,"Claude Resil,MD",2301
38511e46-cc15-4856-92bc-718c5ec56cbf,PRAC0000000000000959,Family Medical Associates PC,02021
d8dc4d0b-d7c5-47d2-9d63-ee811cdbb177,PRAC0000000000000960,Bay Cove Human Services,02114
143ac479-c9ef-4b2a-b5ae-98369ad16524,PRAC0000000000000961,Steward Surgical Associates Brockton,2301
93246714-2cfe-4ce6-88aa-4d46fbb13102,PRAC0000000000000962,Salem New Hampshire physicians Network,1844
a30131d4-8655-4d14-aeaa-2025624e7930,PRAC0000000000000963,SMG Bridgewater Internal Medicine,2382
ad0d9579-9256-4840-a164-1cd9b56bb970,PRAC0000000000000964,Dummy Test,90001
f94a3fb9-2ac2-4366-96dc-9b957850eb11,PRAC0000000000000965,Boston Health Care for the Homeless Program,02118
61e6dd93-452b-41b0-aca4-8d67fbe71e78,PRAC0000000000000966,Boston Senior Medicine,2021
acfcd97b-0533-4c95-9f5d-4744c5f9c64c,PRAC0000000000000967,Upham's Corner Health Center,2125
0367ce80-57a9-45e7-8afe-18f665a6a640,PRAC0000000000000968,Woundcentrics,78130
313ab738-b4cd-497b-bc2c-3dcdc03f8d1e,PRAC0000000000000969,test,78404
e8ab4a40-b816-45cd-b5a0-697921993c21,PRAC0000000000000970,SMG Pulmonary Clinic,2135
851ae2c1-5470-44df-a02d-2e241a938cdd,PRAC0000000000000971,Smg Brockton Cardiology,2301
cdabc85a-9c13-4fae-9dbf-d2e22e12f466,PRAC0000000000000972,Orthopaedic Specialists of Massachusetts,02062
c0926069-e956-4ed5-8775-1f462f6cff36,PRAC0000000000000973,"Neurology Center Of New England, PC",02035
59b63126-d36a-4eef-b6d6-e966ed1230cd,PRAC0000000000000974,SMG Novacare Medical,2333
f6e0c5c4-401d-4862-a22b-31e2c4b76bf8,PRAC0000000000000975,Whittier Street Health Center,2120
40be2193-6451-41c2-88b2-0d8bff388938,PRAC0000000000000976,yyyyy,string
96cb724d-3f45-4afe-afa2-2f6240ff4e6a,PRAC0000000000000977,Test 8,12321
59dc7077-73bb-42d9-88a0-be4aab603899,PRAC0000000000000978,test9,32123
32c9670c-54f4-4a86-b17d-8bd4e7f5d7d4,PRAC0000000000000979,ddd,string
78154345-28a2-48a1-9d53-c77a79e5a219,PRAC0000000000000980,test10,45323
8f832393-e7d2-475c-bc06-c1b8ab270942,PRAC0000000000000981,Iris (Practice),37027
378b228f-d2be-4710-8d92-113fd67246ed,PRAC0000000000000982,Northeast Dermatology Associates ,01830
d10f46ad-225d-4ba2-882c-149521fcead5,PRAC0000000000000983,Prima Care,02721
da7d760b-e3a8-4c92-9006-eca464ce8e1e,PRAC0000000000000984,Care Dimensions,01923
ef581676-1380-4561-a3ff-e1fef824d348,PRAC0000000000000985,SMG Nashoba Family Medicine,01450
